ulasan,rating,tangibles,reliability,emphaty,assurance,kategori
kursi kursi ruang kelas rusak toilet keran rusak,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas kampus terjaga bersih,4,1,1,0,1,"tangibles, reliability, assurance"
lalu dosen dosen tidak datang materi kurang mudah paham,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek memuaskan,4,0,0,0,0,umum
pelayanan fakultas ilmu komputer teknologi informasi sebenarnya baik,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas pada hanya saja ruang ibadah kurang,4,1,1,0,1,"tangibles, reliability, assurance"
segi dosen staff meskipun perlu baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi laku mahasiswa rasa pelayanan baik paham pihak fakultas mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
depan berharap agar semua aspek maksimal membuat fakultas lebih baik lagi mutu layan,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas kampus ruang kuliah toilet laboratorium pada mahasiswa tingkat lagi ruang kuliah sedikit mahasiswa terkadang dosen meminta kelas ganti sulit mencari kelas kosong musholla berharap fakultas lebih perhati musholla hanya manfaat ruang kecil tidak tampung umat muslim mau ibadah mahasiswa harus pergi fkg sholat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen materi kuliah jelas modul ajar komting bagi teman mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf fakultas melayani mahasiswa baik informatif,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sayang dosen pembimbing akademik kurang bimbing mahasiswa sering dapat tentang kuliah contoh isi krs ambil semester atas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas membantu mahasiswa urus keperluan akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas kurang memahami minat mahasiswa memonitoring mahasiswa dosen pa belum berhasil,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
berdasarkan nilai fasilitas fakultas oke,1,1,1,0,1,"tangibles, reliability, assurance"
aspek tempat ibadah laboratorium mash kurang bersih,1,1,0,0,0,tangibles
aspek dosen ajar masuk,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mash dosen jarang masuk kelas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus berkas mahasiswa tergolong lama,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
jadi mahasiswa kesulitan berkas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak tau bantu bag mahasiswa tidak mampu fakultas sendiri,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek paham kepentingan mahasiswa fakultas mash tergolong rendah beberapa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi kondisi fisik fakultas ilmu komputer teknologi bilang banyak kekurangan,4,1,1,0,0,"tangibles, reliability"
fasilitas wifi fakultas ilmu komputer teknologi informasi bilang buruk dukung kegiatan belajar kampus,4,1,1,0,1,"tangibles, reliability, assurance"
tambah lagi ruang beton mengganggu sinyal internet seluler sebagai opsi hubung internet,4,1,1,0,1,"tangibles, reliability, assurance"
pasti mengganggu kegiatan belajar ajar,4,0,1,0,1,"reliability, assurance"
sering kejadian mahasiswa dosen merasa ganggu wifi kampus buruk,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kurang tempat ibadah bagi mahasiswa dosen muslim harus pergi fakultas lain hanya ibadah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pelayanan fasilkom-ti usu lumayan baik,4,1,1,0,1,"tangibles, reliability, assurance"
aspek fasilitas fisik kampus fasilkom-ti usu memuaskan mulai layanan internet cepat ruang ac banyak,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas baik lampu ruang praktikum tidak fungsi wi-fi bukan ethernet lambat kurang cok sambung proyektor ruang kelas tidak fungsi meja kursi pribadi merasa sempit,4,1,1,0,1,"tangibles, reliability, assurance"
aspek andal dosen staf akademik rasa baik contoh sulit urus surat dosen terkadang sulit jumpa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
banyak baik pegawai dosen ramah terbuka,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek laku mahasiswa dosen staff bagus pribadi senang berada fasilkom-ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek sikap tanggap lingkungan fasilkom-ti tanggap sesuai harap,4,0,0,0,0,umum
aspek paham kepentingan mahasiswa tinggi rasa dosen pegawai memahami apa rasa mahasiswa merelate mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fakultas bagus hanya saja awat fasilitas kurang jaga,3,1,1,0,1,"tangibles, reliability, assurance"
fasilitas lain akses internet wilayah fakultas bagus lancar,3,1,1,0,1,"tangibles, reliability, assurance"
tempat ibadah sholat kurang bersiih letak lantai fakultas bangun mushola penegrjaan,3,1,1,0,0,"tangibles, reliability"
pelayanan akademik membuat berkas mohon lain kes tidak jelas sebab kebingungan pegawai staf kurang ramah empathy kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
banyak harus benah fasilkom ti terutama tinjau aspek,4,1,0,1,1,"tangibles, emphaty, assurance"
meskipun umum kondisi fisik fasilitas fasilkom ti baik kekurangan fatal,4,1,1,0,1,"tangibles, reliability, assurance"
kekurangan kurang fasilitas wifi kampus,4,1,1,0,1,"tangibles, reliability, assurance"
wifi fasilkom ti bilang buruk sering kali terjadi mahasiswa dosen mengalami kesulitan akses internet kepentingan belajar ajar,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tambah lagi ruang buat beton halang sinyal internet seluler berbagai provider,4,1,1,0,1,"tangibles, reliability, assurance"
semakin menambah kekurangan segi,4,0,0,0,0,umum
saran maksimal wifi fasilkom ti bandwith harap kegiatan belajar ajar lebih efektif,4,1,1,0,1,"tangibles, reliability, assurance"
haduh kalau ngomong soal fasilkom ti pusing kepala fasilitas minim dosen pun jarang masuk ruang kelas panas internet lambat susah la susah,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nama mahasiswa butuh jaringan cepat itu kampus ga memfasilitasi,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen memang kompeten kurang peduli mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas pun sering mengabaikan mahasiswa mengalami kesulitan bagi akademik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa pun bingung harus bertanya siapa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen pun kurang empat mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bimbingan memang mudah dosen susah kali,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
asik menghilang aja kerja,2,0,0,0,0,umum
pusing la pusing,2,0,0,0,0,umum
fasilitas sedia kampus banyak lengkap memudahkan mahasiswa kegiatan akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen baik ahli,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa tidak perbedaan interaksi baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap mahasiswa mahasiswa baik mahasiswa mengenal satu sama lain termasuk mengenal dosen fasilkom ti,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
empati fasilkom ti bilang bagus satu mahasiswa mahasiswa lain tergolong membantu himpunan panitia membuat mahasiswa lebih mengenal lebih empati satu sama,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
berkuliah fasilkom-ti aspek fasilitas kampus mengecewakan toilet mahasiswa laki lampu tidak hidup bulan tidak perbaikan toilet sering mengalami mati air toilet bau bau cium sampai keluar toilet sanitasi toilet tidak sabun tidak tersedia toilet laki,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kelas kekurangan bagian kedap suara suara bising ruang kelas sebelah dengar dalam kelas membuat ajar ganggu,3,1,1,0,1,"tangibles, reliability, assurance"
fasilitas lab lumayan bagus komputer pada kecepatan internetnya kencang,3,1,1,0,1,"tangibles, reliability, assurance"
aspek andal dosen staf lumayan bagus urus berkas cepat alur mudah erti,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen dosen tidak bagus ajar suara kecil sampai materi kurang erti,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus ruang kelas toilet lai bagus beberapala kurang kadang fasilitas ac mati akibat ruang jadi panas dosen ajar baik aja jarang masuk tidak masuk ajar dosen baik ajar komunikatif mahasiswa tentang laku mahasiswa tentang urus berkas bilang mudah tidak terlalu ribet,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggal fakultas baik kali kejadian akademik pihak fakultas langsung banyu,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pribadi fasilkom-ti usu fasilitas memuaskan lupa kantin kampus sampai belum beroperasi lampu ruang praktikum tidak wifi kampus lambat tidak responsif proyektor ruang kelas tidak aktif kelas kurang cok sambung kursi meja pribadi merasa kecil,4,1,1,0,1,"tangibles, reliability, assurance"
luar hal pelayanan fasilkom-ti baik fasilitas andal dosen laku mahasiswa tanggap paham terkadap kepentingan mahasiswa sesuai ekspektasi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen staf akademik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai andal dosen memuaskan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mana dosen menyampaikan materi kadang merasa kesulitan paham,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen tidak perhati semua kemampuan mahasiswa sehinggal salah satu mahasiswa saja mengerti mewakili semua mahasiswa berada kelas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sementara banyak mahasiswa belum memahami materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ajar daring luring dosen sering sekali miss komunikasi soal ajar laksana luring rumah,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sebab mahasiswa lelah berada kampus dikamous dosen tidak hadir harus daring,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
membuat kurang efektif mahasiswa mengikuti ajar,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak hanya saja ajar laksana luring dosen sering lambat lambat lama,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa merasa siap terbuang saja sia-sia,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sedikit saja baik membantu memahami materi,3,1,1,0,1,"tangibles, reliability, assurance"
modul mahasiswa kurang sebab kurang paham materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mungkin dosen menganggap modul materi tidak tidak terlalu penting sepele kecil mahasiswa belum memahami materi butuh kecil,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
perihal dosen mahasiswa harap perubahan dosen,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen menyampaikan materi agar tidak terlalu cepat pastikan semua mahasiswa memahami materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen harap ubah menyampaikan materi mahasiswa menerima materi baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
perihal ajar luring daring dosen harap informasi jelas informasi jangan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pakat ajar daring harus laksana luring meminta dosen informasi h-1 h-2jam ajar dimulai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
h-1 jam mahasiswa rumah jauh kampus tidak terkejar lagi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sebalikbya pakat luring laksana daring mahasiswa meminta dosen agar informasi mahasiswa rumah jauh kampus harus kuar tenaga materi saat jalan menuju kampus,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi fasilitas fisik kampus fasilkom-ti usu lumayan baik walupun tidak bangun spt ibadah cafetaria tempat worksapce nyaman,3,1,1,0,1,"tangibles, reliability, assurance"
andal dosen staf akademik hitung rata tergantung kondisi situasi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa nilai baik lingkungan fasilkom-ti,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap kurang banyak seharudnya baharu iring segi fasilitas mssih banyak kurang kini belum perubahan,3,1,1,0,1,"tangibles, reliability, assurance"
segi paham kepentingan mahasiswa kurang banyak butuh mahasiswa lingkungan kampus menunjang ajar nyaman belum perubahan membantu mahasiswa menunjang semua,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sendiri lingkungan fasilkom-ti milik banyak perubahan perubahan yanh bukan keperluaj mahasiswa nilai panjanh awal covid-19 kini terlalu sedikit perubahan lingkungan kampus mahasiswa butuh tempat ibadah kantin kampus,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas dapatkan baik ruang kelas nyaman,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas toilet kurang bersih keran tidak hidup,4,1,1,0,1,"tangibles, reliability, assurance"
andal dosen staf baik dosen proses belajar ajar baik kadangkala ajar dosen terlalu cepat sehingg mahasiswa sulit mengikuti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa dosen baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik kendala seringkali jawaban atas masalah hadap tidak tanggap lama penyelesaian masalah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap baik kepentingan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fakultas baik ruang kelas luas nyaman mahasiswa banyak terkadang ruang kelas sempit kursi butuh terkadang kurang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas toilet kurang nyaman terkadang tidak bersih terkadang keran macet,4,1,1,0,1,"tangibles, reliability, assurance"
dosen staf baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik terkadang respon lambat atur jadwal kelas ganti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik terdakadang respon pihak fakultas atas masalah kuliah alami mahasiswa tidak baik tidak membantu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap paham kepentingan mahasiswa pihak fakultas baik tetap harus tingkat lagi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus baik memenuhi kebutuhan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
harus baik lagi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
toilet terkadang kotor bak kotor ruang ibadah belum tersedia sementara lain,4,1,1,0,1,"tangibles, reliability, assurance"
terkadang dosen datang tidak,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus berkas mahasiswa staf fakultas terkadang harus menjalani proses lama,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kurang ramah para staf fakultas mahasiswa melayani kebutuhan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus fasilkom ti fasilitas berguna membantu mahasiswa bidang akademik fasilitas lab komputer hardware,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lab menyediakan proyektor memudahkan mahasiswa asisten lab proses belajar ajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen fasilkom ti milik keahlian beda sesuai bidang web program jaringan bidang ti mana memudahkan mahasiswa banyak belajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa milik sikap tanggap baik dosen ajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen milik interaksi baik tidak suasana bosan kelas,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas menyediakan fasilitas baik mahasiswa ruang ibadah tahap bangun ruang ibadah sementara mahasiswa tidak perlu jauh ibadah fakultas lain,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sulit komunikasi dosen pembimbing tugas respon mahasiswa bimbing,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf fakultas melayani mahasiswa terkadang kurang baik menunjukkan sifat judes,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
baik moga tingkat lagi depan,4,1,1,0,1,"tangibles, reliability, assurance"
sisi kampus tergolong baik,2,1,1,0,1,"tangibles, reliability, assurance"
sayang sekali sisi ruang ibadah tidak pada harus pergi fakultas lain sebenarnya sedia ruang ibadah kampus ruang tidak pada tidak fasilitas berwudhu layak ruang ibadah kecil sempit debu,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kes ruang ibadah biar saja awat lebih layak,2,1,1,0,1,"tangibles, reliability, assurance"
sisi toilet bersih toilet baik tambahan sabun tiap bilik kamar mandi menambah higienitas sama-sama coba terap,2,1,1,0,1,"tangibles, reliability, assurance"
sisi empathy fakultas jauh kata baik,4,1,1,0,1,"tangibles, reliability, assurance"
berkuliah tidak rasa monitoring perkembangan akademik kuliah,4,0,1,1,0,"reliability, emphaty"
grup dosen pembimbing akademik pun hening kes abai,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak interaksi dosen mahasiswa walapun ada diskusi beliau tidak muncul saran masuk,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
beliau termasuk sulit temu hubung meninggalkan mahasiswa clueless,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
harus membandingkan dosen nasihat akademik teman dosen nasihat akademik teman jauh lebih aktif dosen nasihat akademik membantu pantau perkembangan akademik capai semester hendak melaksanakan tugas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
boleh jujur iri interaksi dosen nasihat akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
harus elus dada mendapati dosen nasihat akademik kurang bertindak beliau,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fakultas lumayan baik,4,1,1,0,1,"tangibles, reliability, assurance"
musola jauh kata baik,4,1,1,0,1,"tangibles, reliability, assurance"
andal dosen ajar rata rata baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen jarang masuk materi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus berkas mahasiswa lambat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
jadi mahasiswa kesulitan oleh berkas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sayangnya tidak tau bantu keringanan bagi mahasiswa tidak mampu fakultas sendiri,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek fakultas tergolong rendah beberapa,4,1,1,0,0,"tangibles, reliability"
berdasarkan nilai fasilitas fakultas baik,3,1,1,0,1,"tangibles, reliability, assurance"
aspek tempat ibadah laboratorium mash kurang bersih,3,1,0,0,0,tangibles
aspek dosen ajar masuk,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen jarang masuk kelas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus berkas mahasiswa tergolong lama,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
jadi mahasiswa kesulitan berkas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak tau bantu mahasiswa tidak mampu fakultas sendiri,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek paham kepentingan mahasiswa fakultas tergolong rendah beberapa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fisik kampus pada tentu saja fasilitas milik kekurangan lab jaringan pc sering masalah,4,1,1,0,1,"tangibles, reliability, assurance"
andal dosen staf akademik sendiri rasa mumpuni segi akademik laku mahasiswa sendiri rasa aspek memuaskan baik lebih lanjut,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap paham kepentingan mahasiswa rasa memuaskan aspek perlu tingkat serius lebih lanjut,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
garis besar layanan akademik fasilkom-ti usu baik standar akreditasi unggul,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek rasa baik fasilitas perlu awas lebih pc tidak baik lab fasilitas pendukung wi-fi kampus sinyal tidak merata,3,1,1,0,1,"tangibles, reliability, assurance"
andal dosen staf akademik kampus memuaskan materi ajar dukungan pelajaran sendiri,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa konteks memuaskan tidak merata,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap paham kepentingan mahasiswa tanggapan memuaskan tidak bilang sempurna,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tanggapan terkait layanan akademik fasilkom-ti usu tahap memuaskan belum tingakatan memuaskan,3,0,1,1,0,"reliability, emphaty"
fasilitas fasikom ti pada tidak fungsi baik lampu kamar mandi keran air,4,1,1,0,1,"tangibles, reliability, assurance"
lalu ruang kelas lab baik bangku rusak tidak lampu tidak nyala pintu keluar suara buka tutup,4,1,1,0,1,"tangibles, reliability, assurance"
andal dosen dal ajar amat baik mana materi jelas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik mana aktifitas mahasiswa tidak hambat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitias ruang kelas samping hanya batas sekat kaca membuat suara kelas lain dengar,3,1,1,0,1,"tangibles, reliability, assurance"
fasilitias toilet tidak milik lampu terkadang kotor,3,1,0,0,0,tangibles
tidak sedia musholla membuat ibada harus fakultas lain tidak kantin kecil interaksi mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen jarang masuk tugas pokok sebagai dosen,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa bilang baik bukan baik buruk keluhan teman dengar tentang pelayanan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom ti fasilitas agar tambah sarana bakat bakat hubung jurus ti agar kembang wifi kampus minta tolong tingkat mau ngerjai tugas ngelag wifi ini tambah kantin mahasiswa ti harus fkg beli makanan bersih harus jaga aman harus ketat banyaknya kehilangan ti helm lain lain,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pendopo buka 24 jam agar rapat rapat anak himatif laksana situu,3,0,0,1,0,emphaty
fasilitas fisik kampus baik kendala dosen bagi dosen jarang masuk banyak dosen ajar peran struktural kampus struktural kampus dosen menganggap sepele pelajaran banyak mahasiswa tidak mengerti terkait mata kuliah ambil laku mahasiswa bagus baik baik sikap tanggap cepat empathy lumayan kurang empathy kepentingan mahasiswa banyak menganggap sepele kepentingan mahasiswa penting mental fisik mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan akademik fasilkom-ti usu baik aspek fasilitas fisik berada kampus puas ruang salur listrik tidak mengisi daya laptop andal dosen staf akademik baik mana dosen staf akademik berada fasilkom ti ramah andal,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa puas merasa adil fasilkom-ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap rasa mas mendapat nilai urus berkas berkas kawan kawan lama merasa sikap kurang tanggap,4,0,0,0,1,assurance
paham kepentingan mahasiswa merasa puas mana tanggap pihak fasilkom ti usu urus ide ide dukung naik nama fasilkom ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus ruang kuliah bersih rapi terawat perangkat meja kursi proyektor rusak kurang perhati,5,1,1,0,1,"tangibles, reliability, assurance"
toilet kurang terang,5,1,0,0,0,tangibles
dosen baik saja tetap tergantung sifat dosen,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus berkas turut wajib mahasiswa mencari informasi mandiri,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap fakultas baik masalah campus,5,1,1,0,1,"tangibles, reliability, assurance"
kepedulian fakultas memahami kepentingan kesulitan membantu mahasiswa masalah ekonomi bakat terpendam lain,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kampus fasilkom-ti usu baik,4,1,1,0,1,"tangibles, reliability, assurance"
ruang kelas sedia luas full ac sejuk suasana kelas enak kursi meja sedia nyaman walau kursi lebih baik ganti busa tidak papan meja goyang goyang tidak aman meletakkan laptop atas papan meja kursi,4,1,1,0,1,"tangibles, reliability, assurance"
toilet sedia bagus bersih hanya saja terkadang tidak air sabun cuci tangan terkadang tidak sulit para mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laboratorium tersedia lumayan bagus lengkap ac sejuk internet sedia cepat hanya saja ruang kurang luas masuk praktikum tidak jarang mahasiswa sempit sempit,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
belum sholat ruang ibadah sedia fakultas memang tidak tempat ibadah khusus,4,1,1,0,1,"tangibles, reliability, assurance"
sebenarnya sih ruang sholat letak lantai gedung hanya saja lebih pilih sholat banding sholat ruang ibadah fakultas,4,1,1,0,1,"tangibles, reliability, assurance"
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium toilet baik terjaga bersih,5,1,1,0,1,"tangibles, reliability, assurance"
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ada elearning laku akses modu mudah,5,0,0,0,0,umum
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama,5,0,0,0,1,assurance
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,4,1,1,0,1,"tangibles, reliability, assurance"
laboratorium toilet baik terjaga bersih,4,1,1,0,1,"tangibles, reliability, assurance"
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ada elearning laku akses modul mudah,4,0,0,0,0,umum
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama,4,0,0,0,1,assurance
mulai fasilitas kampus akademik baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
non-akademik kurang beroperasi gimana mesti,3,0,0,0,0,umum
kantin fasilitas kampus,3,1,1,0,1,"tangibles, reliability, assurance"
sampai belum buka,3,0,0,0,0,umum
kantin fasilitas kampus butuh mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen staf akademik jalan baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
baik akademik laku melaksanakan tugas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap,3,0,0,0,0,umum
paham kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mulai fasilitas kampus akademik baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
non-akademik kurang beroperasi gimana mesti,4,0,0,0,0,umum
kantin fasilitas kampus,4,1,1,0,1,"tangibles, reliability, assurance"
sampai belum buka,4,0,0,0,0,umum
kantin fasilitas kampus butuh mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
harap sedia cctv area parkir,4,0,0,0,0,umum
dosen staf akademik jalan baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
baik akademik laku melaksanakan tugas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap,4,0,0,0,0,umum
paham kepentingan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pengalaman berkuliah fakultas ilmu komputer teknologi informasi universitas sumatera utara baik,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas fisik kampus memuaskan ruang kelas besar nyaman toilet bersih tersedia lantai akses internet gratis baik,4,1,1,0,1,"tangibles, reliability, assurance"
kampus perlu banyak alat keperluan praktikum proses belajar ajar praktikum lebih baik lagi,4,1,1,0,1,"tangibles, reliability, assurance"
contoh berharap pihak kampus menyediakan kabel lan kepala rj45 gratis keperluan tugas harap mahasiswa fasilitas hub router mahasiswa eksplorasi bidang jaringan mandiri,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
