ulasan,rating,tangibles,reliability,emphaty,assurance,kategori,sentiment,polaritas
pribadi fasilkom-ti usu fasilitas memuaskan lupa kantin kampus sampai belum beroperasi lampu ruang praktikum tidak wifi kampus lambat tidak responsif proyektor ruang kelas tidak aktif kelas kurang cok sambung kursi meja pribadi merasa kecil,4,1,1,0,1,"tangibles, reliability, assurance",-21,negative
luar hal pelayanan fasilkom-ti baik fasilitas andal dosen laku mahasiswa tanggap paham terkadap kepentingan mahasiswa sesuai ekspektasi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",24,positive
andal dosen staf akademik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
nilai andal dosen memuaskan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
mana dosen menyampaikan materi kadang merasa kesulitan paham,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
dosen tidak perhati semua kemampuan mahasiswa sehinggal salah satu mahasiswa saja mengerti mewakili semua mahasiswa berada kelas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-12,negative
sementara banyak mahasiswa belum memahami materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
ajar daring luring dosen sering sekali miss komunikasi soal ajar laksana luring rumah,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
sebab mahasiswa lelah berada kampus dikamous dosen tidak hadir harus daring,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
membuat kurang efektif mahasiswa mengikuti ajar,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
tidak hanya saja ajar laksana luring dosen sering lambat lambat lama,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
mahasiswa merasa siap terbuang saja sia-sia,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
sedikit saja baik membantu memahami materi,3,1,1,0,1,"tangibles, reliability, assurance",1,positive
modul mahasiswa kurang sebab kurang paham materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-9,negative
mungkin dosen menganggap modul materi tidak tidak terlalu penting sepele kecil mahasiswa belum memahami materi butuh kecil,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
perihal dosen mahasiswa harap perubahan dosen,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
dosen menyampaikan materi agar tidak terlalu cepat pastikan semua mahasiswa memahami materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
dosen harap ubah menyampaikan materi mahasiswa menerima materi baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
perihal ajar luring daring dosen harap informasi jelas informasi jangan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
pakat ajar daring harus laksana luring meminta dosen informasi h-1 h-2jam ajar dimulai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
h-1 jam mahasiswa rumah jauh kampus tidak terkejar lagi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
sebalikbya pakat luring laksana daring mahasiswa meminta dosen agar informasi mahasiswa rumah jauh kampus harus kuar tenaga materi saat jalan menuju kampus,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
segi fasilitas fisik kampus fasilkom-ti usu lumayan baik walupun tidak bangun spt ibadah cafetaria tempat worksapce nyaman,3,1,1,0,1,"tangibles, reliability, assurance",6,positive
andal dosen staf akademik hitung rata tergantung kondisi situasi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
laku mahasiswa nilai baik lingkungan fasilkom-ti,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",11,positive
sikap tanggap kurang banyak seharudnya baharu iring segi fasilitas mssih banyak kurang kini belum perubahan,3,1,1,0,1,"tangibles, reliability, assurance",-16,negative
segi paham kepentingan mahasiswa kurang banyak butuh mahasiswa lingkungan kampus menunjang ajar nyaman belum perubahan membantu mahasiswa menunjang semua,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
sendiri lingkungan fasilkom-ti milik banyak perubahan perubahan yanh bukan keperluaj mahasiswa nilai panjanh awal covid-19 kini terlalu sedikit perubahan lingkungan kampus mahasiswa butuh tempat ibadah kantin kampus,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",14,positive
fasilitas dapatkan baik ruang kelas nyaman,4,1,1,0,1,"tangibles, reliability, assurance",2,positive
fasilitas toilet kurang bersih keran tidak hidup,4,1,1,0,1,"tangibles, reliability, assurance",-7,negative
andal dosen staf baik dosen proses belajar ajar baik kadangkala ajar dosen terlalu cepat sehingg mahasiswa sulit mengikuti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",20,positive
laku mahasiswa dosen baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
pihak fakultas ayom mahasiswa baik kendala seringkali jawaban atas masalah hadap tidak tanggap lama penyelesaian masalah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-14,negative
sikap tanggap baik kepentingan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
fasilitas fakultas baik ruang kelas luas nyaman mahasiswa banyak terkadang ruang kelas sempit kursi butuh terkadang kurang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-10,negative
fasilitas toilet kurang nyaman terkadang tidak bersih terkadang keran macet,4,1,1,0,1,"tangibles, reliability, assurance",-3,negative
dosen staf baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
laku mahasiswa baik terkadang respon lambat atur jadwal kelas ganti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
pihak fakultas ayom mahasiswa baik terdakadang respon pihak fakultas atas masalah kuliah alami mahasiswa tidak baik tidak membantu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
sikap tanggap paham kepentingan mahasiswa pihak fakultas baik tetap harus tingkat lagi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
fasilitas kampus baik memenuhi kebutuhan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
harus baik lagi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
toilet terkadang kotor bak kotor ruang ibadah belum tersedia sementara lain,4,1,1,0,1,"tangibles, reliability, assurance",-20,negative
terkadang dosen datang tidak,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-6,negative
urus berkas mahasiswa staf fakultas terkadang harus menjalani proses lama,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
kurang ramah para staf fakultas mahasiswa melayani kebutuhan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
fasilitas kampus fasilkom ti fasilitas berguna membantu mahasiswa bidang akademik fasilitas lab komputer hardware,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
lab menyediakan proyektor memudahkan mahasiswa asisten lab proses belajar ajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
dosen fasilkom ti milik keahlian beda sesuai bidang web program jaringan bidang ti mana memudahkan mahasiswa banyak belajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",18,positive
mahasiswa milik sikap tanggap baik dosen ajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
dosen milik interaksi baik tidak suasana bosan kelas,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
fakultas menyediakan fasilitas baik mahasiswa ruang ibadah tahap bangun ruang ibadah sementara mahasiswa tidak perlu jauh ibadah fakultas lain,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
sulit komunikasi dosen pembimbing tugas respon mahasiswa bimbing,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
staf fakultas melayani mahasiswa terkadang kurang baik menunjukkan sifat judes,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
baik moga tingkat lagi depan,4,1,1,0,1,"tangibles, reliability, assurance",1,positive
sisi kampus tergolong baik,2,1,1,0,1,"tangibles, reliability, assurance",-1,negative
sayang sekali sisi ruang ibadah tidak pada harus pergi fakultas lain sebenarnya sedia ruang ibadah kampus ruang tidak pada tidak fasilitas berwudhu layak ruang ibadah kecil sempit debu,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
kes ruang ibadah biar saja awat lebih layak,2,1,1,0,1,"tangibles, reliability, assurance",8,positive
sisi toilet bersih toilet baik tambahan sabun tiap bilik kamar mandi menambah higienitas sama-sama coba terap,2,1,1,0,1,"tangibles, reliability, assurance",6,positive
sisi empathy fakultas jauh kata baik,4,1,1,0,1,"tangibles, reliability, assurance",-2,negative
berkuliah tidak rasa monitoring perkembangan akademik kuliah,4,0,1,1,0,"reliability, emphaty",2,positive
grup dosen pembimbing akademik pun hening kes abai,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
tidak interaksi dosen mahasiswa walapun ada diskusi beliau tidak muncul saran masuk,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
beliau termasuk sulit temu hubung meninggalkan mahasiswa clueless,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
harus membandingkan dosen nasihat akademik teman dosen nasihat akademik teman jauh lebih aktif dosen nasihat akademik membantu pantau perkembangan akademik capai semester hendak melaksanakan tugas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
boleh jujur iri interaksi dosen nasihat akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
harus elus dada mendapati dosen nasihat akademik kurang bertindak beliau,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
fasilitas fakultas lumayan baik,4,1,1,0,1,"tangibles, reliability, assurance",6,positive
musola jauh kata baik,4,1,1,0,1,"tangibles, reliability, assurance",-2,negative
andal dosen ajar rata rata baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",11,positive
dosen jarang masuk materi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
urus berkas mahasiswa lambat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
jadi mahasiswa kesulitan oleh berkas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
sayangnya tidak tau bantu keringanan bagi mahasiswa tidak mampu fakultas sendiri,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
aspek fakultas tergolong rendah beberapa,4,1,1,0,0,"tangibles, reliability",-13,negative
berdasarkan nilai fasilitas fakultas baik,3,1,1,0,1,"tangibles, reliability, assurance",7,positive
aspek tempat ibadah laboratorium mash kurang bersih,3,1,0,0,0,tangibles,-13,negative
aspek dosen ajar masuk,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
dosen jarang masuk kelas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
urus berkas mahasiswa tergolong lama,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-8,negative
jadi mahasiswa kesulitan berkas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
tidak tau bantu mahasiswa tidak mampu fakultas sendiri,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
aspek paham kepentingan mahasiswa fakultas tergolong rendah beberapa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-8,negative
fasilitas fisik kampus pada tentu saja fasilitas milik kekurangan lab jaringan pc sering masalah,4,1,1,0,1,"tangibles, reliability, assurance",-7,negative
andal dosen staf akademik sendiri rasa mumpuni segi akademik laku mahasiswa sendiri rasa aspek memuaskan baik lebih lanjut,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
sikap tanggap paham kepentingan mahasiswa rasa memuaskan aspek perlu tingkat serius lebih lanjut,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
garis besar layanan akademik fasilkom-ti usu baik standar akreditasi unggul,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
aspek rasa baik fasilitas perlu awas lebih pc tidak baik lab fasilitas pendukung wi-fi kampus sinyal tidak merata,3,1,1,0,1,"tangibles, reliability, assurance",13,positive
andal dosen staf akademik kampus memuaskan materi ajar dukungan pelajaran sendiri,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",14,positive
laku mahasiswa konteks memuaskan tidak merata,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
sikap tanggap paham kepentingan mahasiswa tanggapan memuaskan tidak bilang sempurna,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",21,positive
tanggapan terkait layanan akademik fasilkom-ti usu tahap memuaskan belum tingakatan memuaskan,3,0,1,1,0,"reliability, emphaty",12,positive
fasilitas fasikom ti pada tidak fungsi baik lampu kamar mandi keran air,4,1,1,0,1,"tangibles, reliability, assurance",0,netral
lalu ruang kelas lab baik bangku rusak tidak lampu tidak nyala pintu keluar suara buka tutup,4,1,1,0,1,"tangibles, reliability, assurance",-6,negative
andal dosen dal ajar amat baik mana materi jelas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",14,positive
laku mahasiswa baik mana aktifitas mahasiswa tidak hambat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
fasilitias ruang kelas samping hanya batas sekat kaca membuat suara kelas lain dengar,3,1,1,0,1,"tangibles, reliability, assurance",-22,negative
fasilitias toilet tidak milik lampu terkadang kotor,3,1,0,0,0,tangibles,1,positive
tidak sedia musholla membuat ibada harus fakultas lain tidak kantin kecil interaksi mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
dosen jarang masuk tugas pokok sebagai dosen,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-6,negative
mahasiswa bilang baik bukan baik buruk keluhan teman dengar tentang pelayanan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
fasilkom ti fasilitas agar tambah sarana bakat bakat hubung jurus ti agar kembang wifi kampus minta tolong tingkat mau ngerjai tugas ngelag wifi ini tambah kantin mahasiswa ti harus fkg beli makanan bersih harus jaga aman harus ketat banyaknya kehilangan ti helm lain lain,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
pendopo buka 24 jam agar rapat rapat anak himatif laksana situu,3,0,0,1,0,emphaty,-3,negative
fasilitas fisik kampus baik kendala dosen bagi dosen jarang masuk banyak dosen ajar peran struktural kampus struktural kampus dosen menganggap sepele pelajaran banyak mahasiswa tidak mengerti terkait mata kuliah ambil laku mahasiswa bagus baik baik sikap tanggap cepat empathy lumayan kurang empathy kepentingan mahasiswa banyak menganggap sepele kepentingan mahasiswa penting mental fisik mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",47,positive
layanan akademik fasilkom-ti usu baik aspek fasilitas fisik berada kampus puas ruang salur listrik tidak mengisi daya laptop andal dosen staf akademik baik mana dosen staf akademik berada fasilkom ti ramah andal,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",25,positive
laku mahasiswa puas merasa adil fasilkom-ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
sikap tanggap rasa mas mendapat nilai urus berkas berkas kawan kawan lama merasa sikap kurang tanggap,4,0,0,0,1,assurance,7,positive
paham kepentingan mahasiswa merasa puas mana tanggap pihak fasilkom ti usu urus ide ide dukung naik nama fasilkom ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",11,positive
fasilitas kampus ruang kuliah bersih rapi terawat perangkat meja kursi proyektor rusak kurang perhati,5,1,1,0,1,"tangibles, reliability, assurance",6,positive
toilet kurang terang,5,1,0,0,0,tangibles,-5,negative
dosen baik saja tetap tergantung sifat dosen,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
urus berkas turut wajib mahasiswa mencari informasi mandiri,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-9,negative
sikap tanggap fakultas baik masalah campus,5,1,1,0,1,"tangibles, reliability, assurance",4,positive
kepedulian fakultas memahami kepentingan kesulitan membantu mahasiswa masalah ekonomi bakat terpendam lain,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
kampus fasilkom-ti usu baik,4,1,1,0,1,"tangibles, reliability, assurance",3,positive
ruang kelas sedia luas full ac sejuk suasana kelas enak kursi meja sedia nyaman walau kursi lebih baik ganti busa tidak papan meja goyang goyang tidak aman meletakkan laptop atas papan meja kursi,4,1,1,0,1,"tangibles, reliability, assurance",1,positive
toilet sedia bagus bersih hanya saja terkadang tidak air sabun cuci tangan terkadang tidak sulit para mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
laboratorium tersedia lumayan bagus lengkap ac sejuk internet sedia cepat hanya saja ruang kurang luas masuk praktikum tidak jarang mahasiswa sempit sempit,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-18,negative
belum sholat ruang ibadah sedia fakultas memang tidak tempat ibadah khusus,4,1,1,0,1,"tangibles, reliability, assurance",8,positive
sebenarnya sih ruang sholat letak lantai gedung hanya saja lebih pilih sholat banding sholat ruang ibadah fakultas,4,1,1,0,1,"tangibles, reliability, assurance",8,positive
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,5,1,1,0,1,"tangibles, reliability, assurance",-14,negative
laboratorium toilet baik terjaga bersih,5,1,1,0,1,"tangibles, reliability, assurance",0,netral
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
ada elearning laku akses modu mudah,5,0,0,0,0,umum,10,positive
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama,5,0,0,0,1,assurance,-5,negative
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,4,1,1,0,1,"tangibles, reliability, assurance",-14,negative
laboratorium toilet baik terjaga bersih,4,1,1,0,1,"tangibles, reliability, assurance",0,netral
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
ada elearning laku akses modul mudah,4,0,0,0,0,umum,10,positive
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama,4,0,0,0,1,assurance,-5,negative
mulai fasilitas kampus akademik baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
non-akademik kurang beroperasi gimana mesti,3,0,0,0,0,umum,-7,negative
kantin fasilitas kampus,3,1,1,0,1,"tangibles, reliability, assurance",-2,negative
sampai belum buka,3,0,0,0,0,umum,-1,negative
kantin fasilitas kampus butuh mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
dosen staf akademik jalan baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
baik akademik laku melaksanakan tugas,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
sikap tanggap,3,0,0,0,0,umum,5,positive
paham kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
mulai fasilitas kampus akademik baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",6,positive
non-akademik kurang beroperasi gimana mesti,4,0,0,0,0,umum,-7,negative
kantin fasilitas kampus,4,1,1,0,1,"tangibles, reliability, assurance",-2,negative
sampai belum buka,4,0,0,0,0,umum,-1,negative
kantin fasilitas kampus butuh mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
harap sedia cctv area parkir,4,0,0,0,0,umum,6,positive
dosen staf akademik jalan baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
baik akademik laku melaksanakan tugas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
sikap tanggap,4,0,0,0,0,umum,5,positive
paham kepentingan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
pengalaman berkuliah fakultas ilmu komputer teknologi informasi universitas sumatera utara baik,4,1,1,0,1,"tangibles, reliability, assurance",8,positive
fasilitas fisik kampus memuaskan ruang kelas besar nyaman toilet bersih tersedia lantai akses internet gratis baik,4,1,1,0,1,"tangibles, reliability, assurance",19,positive
kampus perlu banyak alat keperluan praktikum proses belajar ajar praktikum lebih baik lagi,4,1,1,0,1,"tangibles, reliability, assurance",15,positive
contoh berharap pihak kampus menyediakan kabel lan kepala rj45 gratis keperluan tugas harap mahasiswa fasilitas hub router mahasiswa eksplorasi bidang jaringan mandiri,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",20,positive
aspek andal dosen staf akademik laku mahasiswa sikap tanggap paham kepentingan mahasiswa baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
berkuliah jurus teknilogi informasi berada fakuktas ilmu komputer teknologi informasi rasa bahwasannya fasilitas pada menunjang perkembangan teman,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
kelas nyaman tempat belajar berbeda sma sma kelas tidak punya ac,3,1,0,0,0,tangibles,-11,negative
puas fasilitas teknologi informasi,3,1,1,0,1,"tangibles, reliability, assurance",7,positive
fasilitas fisik kampus baik hanyak saja fasilitas tingkat musholla toilet staff fakultas baik layan ramah dosen staff pengajar baik hanya saja kendala dosen batal kelas sesuai jadwal jam ganti kelas bentrok kegiatan lain,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
fasilitas kelas suda baik ac dingin proyektor fungsi stopkontak fungsi,4,1,1,0,1,"tangibles, reliability, assurance",5,positive
nilai fasilitas fakultas baik,4,1,1,0,1,"tangibles, reliability, assurance",10,positive
aspek tempat ibadah laboratorium mash kurang rapi bersih aspek dosen ajar masuk,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-23,negative
dosen jarang masuk kelas mengcancel jadwal tentu urus berkas mahasiswa tergolong lama,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-18,negative
jadi mahasiswa kesulitan berkas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
tidak tau bantu bag mahasiswa tidak mampu fakultas sendiri,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
aspek paham kepentingan mahasiswa fakultas mash tergolong rendah beberapa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-8,negative
fasilitas kampus bagus hanya saja sayang banyak fasilitas dar hanya pajang saja tidak operasi kantin kampus bengkalai kurang awat daerah kamar mandi lampu otomatis kalau masuk hidup lampu sekrng tidak banya,3,1,1,0,1,"tangibles, reliability, assurance",-6,negative
dosen tidak milik timetable membuat para mahasiswa kerepotan atur jadwal padat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
bagi staff mahasiswa merasa tidak laku seng ramah staf terkadang keluar kalimat tidak enak,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
para dosen pa sulit hubung membuat janji,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
fasilitas saji tidak semua pakai semua hanya pajang,4,1,1,0,1,"tangibles, reliability, assurance",13,positive
oh bagus nih cuma sayang gabisa,4,0,0,0,0,umum,2,positive
ruang khusus rancang ajar mahasiswa khusus ting saja kelas semester atas ambil teliti bidang saja,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-23,negative
staf akademik sedikit sombong membuat para mahasiswa enggan kalau urus terkait staf akademik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-16,negative
dosen payah jumpa berkas penting ttd payah selesai,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
fasilitas pihak fakultas baik kekurangan aspek,3,1,1,0,1,"tangibles, reliability, assurance",-6,negative
fasilitas fisik ruang kelas kuliah nyaman ruang laboratorium kurang bersih toilet kurang pencahayaan lampu terutama toilet laki,3,1,1,0,1,"tangibles, reliability, assurance",-7,negative
aspek dosen datang tidak menambah jam kuliah selesai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-8,negative
urus berkas msih tergolong lamban,3,0,0,0,1,assurance,-4,negative
segi kurang tahu bantu fakultas mahasiswa kurang mampu,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-13,negative
segi empathy kurang,3,0,0,0,0,umum,1,positive
layanan akademik fasilkom-ti jauh kata sempurna,3,0,1,1,0,"reliability, emphaty",1,positive
aspek ruang kuliah nyaman lab praktikum kurang terjaga bersih,3,1,1,0,1,"tangibles, reliability, assurance",-10,negative
aspek penjelasan materi dosen jelas tepat kurang banyak dosen kurang disiplin,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-13,negative
aspek urus berkas ribet lama proses,3,0,0,0,1,assurance,-12,negative
aspek tidak banyak minim,3,1,0,0,0,tangibles,-12,negative
aspek empathy,3,0,0,0,0,umum,-5,negative
terima kasih,3,0,0,0,0,umum,4,positive
pelayanan baik pegawai ramah dosen fast response tanggap masalah mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
tidak kesenjangan sosial pelayanan orang mendapat laku sama,4,1,0,0,0,tangibles,17,positive
fasilkom is the best,4,1,0,0,0,tangibles,0,netral
pelayanan baik pegawai ramah dosen fast response tanggap masalah mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
tidak kesenjangan sosial pelayanan orang mendapat laku sama,4,1,0,0,0,tangibles,17,positive
fasilkom is the best,4,1,0,0,0,tangibles,0,netral
pelayanan baik pegawai ramah dosen fast response tanggap masalah mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
tidak kesenjangan sosial pelayanan orang mendapat laku sama,4,1,0,0,0,tangibles,17,positive
fasilkom is the best,4,1,0,0,0,tangibles,0,netral
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tak terlalu pada panas kurang nyaman,3,1,1,0,1,"tangibles, reliability, assurance",-20,negative
laboratorium toilet baik terjaga bersih,3,1,1,0,1,"tangibles, reliability, assurance",0,netral
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
ada elearning laku akses modul mudah,3,0,0,0,0,umum,10,positive
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama tertunda contoh urus berkas kkm program kampus merdeka sulit berkas sampai minggu berkas belum dapat,3,0,1,0,1,"reliability, assurance",-8,negative
menerima pelayanan fakultas merasa belum puas mana laku petugas pelayanan staf akademik mahasiswa tidak ramah membuat mahasiswa takut urus hanya dar bertanya,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
lama urus hitung lama,3,0,0,0,1,assurance,-7,negative
fasilitas pihak fasilitas pada,3,1,1,0,1,"tangibles, reliability, assurance",-3,negative
sikap tanggap staf akademik urus mahasiswa kurang empathy kepentingan mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
fakultas ilmu komputer teknologi informasi universitas sumatera utara kampus idam duduk bangku sekolah tengah atas,5,1,1,0,0,"tangibles, reliability",10,positive
termasuk orang beruntung lanjut didik kesana,5,0,0,0,0,umum,5,positive
ruang kelas megah nyaman laboratorium internet cepat toilet bersih tempat ibadah baik sesuai harap,5,1,1,0,1,"tangibles, reliability, assurance",2,positive
dosen mampu papar materi baik jelas membantu menimbah ilmu,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
laku mahasiswa sikap tanggap fakultas bagus,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
pihak kampus peduli mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
benar benar beruntung berkuliah fakultas ilmu komputer teknologi informasi universitas sumatera utara,5,1,1,0,0,"tangibles, reliability",11,positive
dapat berkuliah fasilkom ti merasa nyaman lingkungan kampus bersih baik luar ruang serta toilet,3,1,1,0,1,"tangibles, reliability, assurance",4,positive
lingkungan aman membuat senang,3,0,0,0,0,umum,9,positive
